date_,Geography,Variable,Value
2009-09-01,National,Government,22291000
2009-09-01,National,Service-Providing,112172000
2009-09-01,National,Total Private,108280000
2009-08-01,National,Goods Producing,18561000
2009-08-01,National,Government,21349000
2009-08-01,National,Service-Providing,111655000
2009-08-01,National,Total Private,108867000
2009-07-01,National,Goods Producing,18598000
2009-07-01,National,Government,21280000
2009-07-01,National,Service-Providing,111739000
2009-07-01,National,Total Private,109057000
2009-06-01,National,Goods Producing,18686000
2009-06-01,National,Government,22564000
2009-06-01,National,Service-Providing,113247000
2009-06-01,National,Total Private,109369000
2009-05-01,National,Goods Producing,18660000
2009-05-01,National,Government,23025000
2009-05-01,National,Service-Providing,113454000
2009-05-01,National,Total Private,109089000
2009-04-01,National,Goods Producing,18666000
2009-04-01,National,Government,23094000
2009-04-01,National,Service-Providing,113176000
2009-04-01,National,Total Private,108748000
2009-03-01,National,Goods Producing,18776000
2009-03-01,National,Government,22960000
2009-03-01,National,Service-Providing,112883000
2009-03-01,National,Total Private,108699000
2009-02-01,National,Goods Producing,18998000
2009-02-01,National,Government,22870000
2009-02-01,National,Service-Providing,112794000
2009-02-01,National,Total Private,108922000
2009-01-01,National,Goods Producing,19349000
2009-01-01,National,Government,22471000
2009-01-01,National,Service-Providing,112672000
2009-01-01,National,Total Private,109550000
2008-12-01,National,Goods Producing,20263000
2008-12-01,National,Government,22917000
2008-12-01,National,Service-Providing,115450000
2008-12-01,National,Total Private,112796000
2008-11-01,National,Goods Producing,20813000
2008-11-01,National,Government,23051000
